# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	4685
#@/user_id	884253d3-7f28-4531-9f27-e91562b61ca9
can kui 	慚愧	c=1 d=1 t=2664
can shu 	參數	c=1 d=0.873716 t=4685
cang ku 	倉庫	c=2 d=0.0333733 t=4685
cao kong 	操控	c=0 d=0.00142642 t=4685
cao mei 	草莓	c=0 d=0.1 t=3749
cao zuo 	操作	c=1 d=0.496585 t=4685
ce shi 	測試	c=1 d=0.773511 t=3173
ce shi huan jing 	測試環境	c=1 d=1 t=3167
ceng jing de 	曾經的	c=1 d=1 t=2694
cha 	差	c=0 d=0.000267181 t=4685
cha bie 	差別	c=1 d=0.625059 t=4685
cha bu duo 	差不多	c=3 d=0.0372834 t=4685
cha dian 	差點	c=0 d=0.1 t=3079
cha jian 	插件	c=1 d=1 t=3338
cha ju 	差距	c=2 d=0.053397 t=4685
chang 	廠	c=0 d=0.000704808 t=4685
chang 	長	c=1 d=1 t=4443
chang jian 	常見	c=0 d=0.0637628 t=4685
chang jian de 	常見的	c=1 d=0.640824 t=4685
chang jiu yi lai 	長久以來	c=1 d=1 t=4309
chang li 	廠裏	c=1 d=1 t=4245
chang shi 	嘗試	c=1 d=0.0173355 t=4685
chang shi jian 	長時間	c=0 d=0.000279479 t=4685
chang zhu 	常駐	c=1 d=0.97531 t=4685
chao le 	吵了	c=1 d=1 t=2702
chen hui fang 	陳惠芳	c=3 d=0.0469193 t=4685
chen shu 	陳述	c=1 d=1 t=4402
cheng ben 	成本	c=1 d=1 t=3116
cheng gong 	成功	c=1 d=1 t=2875
cheng jie 	承接	c=4 d=2.99122 t=3881
cheng shu 	成熟	c=2 d=0.0207678 t=4685
cheng yu 	成語	c=0 d=0.000216573 t=4685
cheng yu su yu 	成語俗語	c=1 d=0.00217658 t=4685
chi 	吃	c=1 d=0.00272578 t=4685
chi bang 	翅膀	c=0 d=0.000759701 t=4685
chi cheng huang lv qing lan zi 	赤橙黃綠青藍紫	c=1 d=0.0550232 t=4685
chi gou liang 	吃狗糧	c=1 d=1 t=3737
chong 	重	c=0 d=0.1 t=3004
chong pei zhi le 	重配置了	c=1 d=1 t=3005
chong qi 	重啓	c=2 d=0.0936477 t=4685
chong qi zhi qian 	重啓之前	c=1 d=0.540641 t=4685
chong tu 	衝突	c=1 d=0.0095616 t=4685
chong xin 	重新	c=3 d=0.682324 t=4685
chong zhuang 	重裝	c=1 d=0.97531 t=4685
chou 	臭	c=1 d=1.09704 t=4210
chou bu yao lian 	臭不要臉	c=1 d=1 t=4205
chu 	出	c=0 d=0.0042349 t=4685
chu bu lai 	出不來	c=1 d=1 t=4001
chu bu qu 	出不去	c=1 d=1 t=3770
chu jing 	處境	c=0 d=0.1 t=4195
chu le 	除了	c=5 d=1.0831 t=4685
chu ming 	出名	c=0 d=0.1 t=4516
chu sheng 	畜生	c=2 d=1.99501 t=4174
chu shi 	出事	c=1 d=0.00600598 t=4685
chu xian 	出現	c=1 d=0.0765355 t=4685
chu xian yi xiao xia 	出現一小下	c=1 d=0.00759701 t=4685
chu xian zhe me chang shi jian 	出現這麼長時間	c=1 d=0.00280879 t=4685
chuan 	傳	c=0 d=0.1 t=3353
chuan bu shang ma 	傳不上嗎	c=1 d=1 t=3354
chuan jiao 	傳教	c=1 d=1 t=2618
chuan tong 	傳統	c=1 d=0.138761 t=4685
chuan zong jie dai 	傳宗接代	c=1 d=1 t=4422
chuang jian 	創建	c=2 d=0.169483 t=4685
chui tiao 	垂髫	c=1 d=1 t=4452
chun 	純	c=1 d=1 t=3441
ci 	次	c=0 d=0.1 t=2372
ci 	詞	c=1 d=0.0043831 t=4685
ci ji 	刺激	c=3 d=0.0151784 t=4685
ci ke 	刺客	c=3 d=0.998094 t=4685
ci ke xin tiao 	刺客信條	c=3 d=0.561958 t=4685
ci ku 	詞庫	c=1 d=0.00216573 t=4685
ci yan 	此言	c=0 d=0.00140519 t=4685
cong 	從	c=3 d=0.875392 t=4685
cong ming 	聰明	c=1 d=1 t=4389
cun 	存	c=1 d=0.0277367 t=4685
cun dang 	存檔	c=2 d=0.188247 t=4685
cuo 	錯	c=0 d=0.00125254 t=4685
cuo le 	錯了	c=1 d=1 t=3811
cuo wu 	錯誤	c=1 d=1 t=2683
da 	大	c=0 d=0.0053397 t=4685
da bao 	打包	c=1 d=1.00026 t=3975
da bao yi ge 	打包一個	c=1 d=1 t=2787
da bu kai 	打不開	c=1 d=1.00003 t=4678
da cheng 	打成	c=1 d=1 t=4325
da chong 	大蟲	c=1 d=1 t=4501
da chu 	打出	c=1 d=1 t=2406
da da chu shou 	大打出手	c=0 d=0.1 t=3832
da fa 	打法	c=0 d=0.0276651 t=4685
da fa yi xia 	打法一下	c=1 d=0.278037 t=4685
da gai 	大改	c=1 d=1 t=2347
da gai 	大概	c=6 d=0.873725 t=4685
da gai dong le 	大概懂了	c=1 d=0.156453 t=4685
da gai lv 	大概率	c=1 d=1 t=2679
da ge 	大哥	c=1 d=1 t=3057
da ge 	打個	c=3 d=0.0285814 t=4685
da jing shi se 	大驚失色	c=1 d=1 t=4454
da kai 	打開	c=4 d=1.36885 t=4685
da lao 	大佬	c=1 d=0.0450492 t=4685
da le 	搭了	c=1 d=1 t=4652
da le ge 	打了個	c=0 d=0.1 t=2810
da li 	搭理	c=1 d=0.0065062 t=4685
da quan 	大全	c=1 d=0.00219846 t=4685
da shi 	大師	c=1 d=1 t=4435
da si 	打死	c=0 d=0.00443785 t=4685
da si le 	打死了	c=1 d=0.044601 t=4685
da suan 	打算	c=0 d=0.1 t=2785
da wen ti 	大問題	c=1 d=1 t=3267
da xiao 	大小	c=0 d=0.1 t=2765
da xiao bu dui 	大小不對	c=1 d=1 t=2766
da you xi 	打遊戲	c=1 d=0.0013912 t=4685
da yue 	大約	c=2 d=1.02387 t=3231
da zi 	打字	c=0 d=0.1 t=2585
dai 	代	c=1 d=0.024972 t=4685
dai 	帶	c=1 d=1 t=3764
dai ci 	代詞	c=1 d=1 t=4318
dai de 	帶的	c=0 d=0.0404542 t=4685
dai li 	代理	c=11 d=0.263209 t=4685
dai ti 	代替	c=1 d=0.913931 t=4685
dai yan jing 	戴眼鏡	c=1 d=1 t=4232
dan 	單	c=12 d=0.163794 t=4685
dan ci 	單詞	c=1 d=1 t=3157
dan ji you xi 	單機遊戲	c=1 d=0.0152222 t=4685
dan ju 	單句	c=14 d=5.90133 t=4070
dan mei 	但沒	c=1 d=1 t=4406
dan shi 	但是	c=14 d=0.227887 t=4685
dan shi wo 	但是我	c=1 d=0.165299 t=4685
dang 	當	c=1 d=0.0492917 t=4685
dang 	黨	c=1 d=0.159614 t=4685
dang shi 	當時	c=1 d=1 t=3090
dang wo 	當我	c=0 d=0.1 t=3755
dang wo mei shuo 	當我沒說	c=1 d=1 t=3756
dao 	倒	c=2 d=0.0824965 t=4685
dao 	刀	c=1 d=0.037068 t=4685
dao 	到	c=4 d=0.971998 t=4685
dao bu zhi yu 	到不至於	c=1 d=1 t=2601
dao chu 	導出	c=1 d=0.00433948 t=4685
dao de 	到的	c=1 d=0.142214 t=3393
dao de 	道德	c=0 d=0.000402593 t=4685
dao de de 	道德的	c=1 d=0.00404611 t=4685
dao di 	到底	c=1 d=1 t=3593
dao di shi 	到底是	c=1 d=1 t=3577
dao le 	到了	c=0 d=0.00168988 t=4685
dao li 	道理	c=1 d=1 t=3511
dao qian 	道歉	c=1 d=1 t=2684
dao shi 	到時	c=2 d=0.0591555 t=4685
dao shi hou 	到時候	c=3 d=0.229674 t=4685
dao shi zhao ni 	到時找你	c=1 d=0.594521 t=4685
de 	得	c=2 d=0.318029 t=4685
de 	的	c=84 d=5.30797 t=4685
de ba 	的吧	c=1 d=0.612626 t=4685
de chu jing 	的處境	c=1 d=1 t=4196
de er zi 	的兒子	c=1 d=0.0096577 t=4685
